Date,Price,Open,High,Low,Vol.,Change %,CPIAUCSL
2011-06-16,"1,529.90","1,531.00","1,534.00","1,522.00",113.36K,0.24%,224.806
2011-06-15,"1,526.20","1,525.10","1,535.70","1,514.50",152.88K,0.12%,224.806
2011-06-14,"1,524.40","1,516.50","1,527.60","1,512.80",115.38K,0.58%,224.806
2011-06-13,"1,515.60","1,530.70","1,533.90","1,511.40",117.01K,-0.89%,224.806
2011-06-10,"1,529.20","1,545.10","1,546.50","1,526.70",129.48K,-0.88%,224.806
2011-06-09,"1,542.70","1,538.30","1,550.80","1,534.00",108.43K,0.26%,224.806
2011-06-08,"1,538.70","1,545.00","1,547.40","1,531.80",111.69K,-0.34%,224.806
2011-06-07,"1,544.00","1,545.00","1,551.40","1,537.00",113.97K,-0.21%,224.806
2011-06-06,"1,547.20","1,544.50","1,555.00","1,541.60",100.19K,0.31%,224.806
2011-06-03,"1,542.40","1,535.00","1,548.40","1,524.90",153.26K,0.63%,224.806
2011-06-02,"1,532.70","1,542.20","1,545.50","1,520.40",151.69K,-0.68%,224.806
2011-06-01,"1,543.20","1,536.60","1,551.60","1,530.40",153.61K,0.42%,224.806
2011-05-30,"1,536.80","1,538.10","1,541.90","1,533.10",114.70K,-0.03%,224.806
2011-05-27,"1,537.30","1,520.20","1,539.50","1,520.00",138.12K,0.95%,224.806
2011-05-26,"1,522.80","1,526.00","1,531.10","1,514.60",186.99K,-0.26%,224.806
2011-05-25,"1,526.70","1,526.20","1,532.50","1,521.30",194.95K,0.22%,224.806
2011-05-24,"1,523.30","1,517.20","1,529.00","1,513.20",234.39K,0.52%,224.806
2011-05-23,"1,515.40","1,512.80","1,519.00","1,503.70",191.25K,0.43%,224.806
2011-05-20,"1,508.90","1,493.50","1,515.80","1,486.40",194.40K,1.11%,224.806
2011-05-19,"1,492.40","1,495.50","1,499.60","1,485.80",162.31K,-0.23%,224.806
2011-05-18,"1,495.80","1,486.50","1,499.70","1,484.60",145.02K,1.07%,224.806
2011-05-17,"1,480.00","1,490.00","1,497.50","1,471.10",190.08K,-0.71%,224.806
2011-05-16,"1,490.60","1,494.60","1,504.30","1,486.00",127.10K,-0.20%,224.806
2011-05-13,"1,493.60","1,506.50","1,516.40","1,482.00",184.88K,-0.88%,224.806
2011-05-12,"1,506.80","1,499.20","1,509.70","1,477.60",207.43K,0.36%,224.806
2011-05-11,"1,501.40","1,515.90","1,526.80","1,495.40",198.03K,-1.02%,224.806
2011-05-10,"1,516.90","1,512.50","1,520.00","1,505.20",149.35K,0.91%,224.806
2011-05-09,"1,503.20","1,496.60","1,513.90","1,489.00",153.91K,0.78%,224.806
